review_date,product_name,category,source,author_name,rating,review_text
2024-01-01,Anker 65W GaN Fast Charger,Electronics,Myntra,Rohan D.,5,Brilliant quality. Worth every rupee spent.
2024-01-01,Biotique Bio Morning Nector SPF,Beauty,Amazon,Vikram H.,5,Five stars! Will recommend to friends and family.
2024-01-01,FabIndia Cotton Kurta,Fashion,Google Play,Anjali E.,2,Very bad experience. Customer service was unhelpful.
2024-01-01,H&M Relaxed Fit Shirt,Fashion,Myntra,Aditya R.,4,Brilliant quality. Worth every rupee spent.
2024-01-01,Milton Thermosteel Flask 1L,Home & Living,Amazon,Amit D.,4,Very satisfied. Quality is premium and packaging was neat.
2024-01-01,Portronics Table Lamp LED,Office & Computing,Myntra,Sanjay L.,4,Exceeded my expectations. Will definitely buy again.
2024-01-01,Samsung Galaxy Buds3 Pro,Electronics,App Store,Sneha R.,4,Perfect product. Works exactly as described.
2024-01-01,Syska USB Hub 4-Port,Office & Computing,Flipkart,Ishaan B.,3,Not bad. Could be better but serves the purpose.
2024-01-01,Wow Skin Science Hair Oil,Beauty,Amazon,Rahul O.,2,Very frustrating experience. Arrived damaged.
2024-01-01,Zebronics ZEB-Crystal Pro Webcam,Electronics,Google Play,Kavya T.,5,Perfect product. Works exactly as described.
2024-01-02,HP 65W Laptop Power Adapter,Office & Computing,Myntra,Meena N.,4,Perfect product. Works exactly as described.
2024-01-02,Mamaearth Vitamin C Face Wash,Beauty,Myntra,Deepa C.,1,Waste of money. Completely unsatisfied.
2024-01-02,Syska USB Hub 4-Port,Office & Computing,Flipkart,Rahul O.,5,Great value for money. Very happy with my purchase.
2024-01-02,boAt Airdopes 141 TWS Earbuds,Electronics,App Store,Lalita Q.,5,Top notch quality. Highly recommend to everyone.
2024-01-03,H&M Relaxed Fit Shirt,Fashion,Flipkart,Rahul O.,5,Five stars! Will recommend to friends and family.
2024-01-03,Milton Thermosteel Flask 1L,Home & Living,Meesho,Kavya T.,3,Decent product. Does exactly what it says.
2024-01-03,Zebronics ZEB-Crystal Pro Webcam,Electronics,Amazon,Meena N.,4,Very satisfied. Quality is premium and packaging was neat.
2024-01-04,FabIndia Cotton Kurta,Fashion,Flipkart,Kavya T.,3,It's fine. Meets basic requirements.
2024-01-04,Prestige Induction Cooktop 1200W,Home & Living,Meesho,Sunita W.,5,Very satisfied. Quality is premium and packaging was neat.
2024-01-04,Sony WH-1000XM5 Headphones,Electronics,Myntra,Nisha G.,3,Decent product. Does exactly what it says.
2024-01-05,JBL Flip 6 Bluetooth Speaker,Electronics,Myntra,Divya F.,5,Top notch quality. Highly recommend to everyone.
2024-01-05,Lakme Absolute Foundation,Beauty,Google Play,Sunita W.,2,Waste of money. Completely unsatisfied.
2024-01-05,Levi's 511 Slim Fit Jeans,Fashion,Google Play,Sanjay L.,5,Outstanding product. Fast delivery and good packaging.
2024-01-05,Royalford Bamboo Chopping Board,Home & Living,App Store,Ananya M.,4,Five stars! Will recommend to friends and family.
2024-01-05,Story@Home Blackout Curtains,Home & Living,Meesho,Ramesh B.,4,Very satisfied. Quality is premium and packaging was neat.
2024-01-05,boAt Airdopes 141 TWS Earbuds,Electronics,Myntra,Meena N.,4,Outstanding product. Fast delivery and good packaging.
2024-01-06,Kuber Industries Storage Box,Home & Living,Flipkart,Suresh I.,4,Great value for money. Very happy with my purchase.
2024-01-06,Minimalist 10% Niacinamide Serum,Beauty,Amazon,Karan J.,3,Does the job but not impressed.
2024-01-06,Samsung Galaxy Buds3 Pro,Electronics,App Store,Geeta U.,5,Absolutely love this product! Quality is excellent and delivery was fast.
2024-01-07,Allen Solly Polo T-Shirt,Fashion,Flipkart,Suresh I.,4,Exceeded my expectations. Will definitely buy again.
2024-01-07,Anker 65W GaN Fast Charger,Electronics,Myntra,Farhan X.,1,Very frustrating experience. Arrived damaged.
2024-01-07,H&M Relaxed Fit Shirt,Fashion,Amazon,Ramesh B.,1,Not worth the money. Would not recommend.
2024-01-07,JBL Flip 6 Bluetooth Speaker,Electronics,Meesho,Aditya R.,4,Absolutely love this product! Quality is excellent and delivery was fast.
2024-01-07,Kuber Industries Storage Box,Home & Living,Myntra,Mohit Y.,3,It's fine. Meets basic requirements.
2024-01-07,Mamaearth Vitamin C Face Wash,Beauty,Amazon,Lalita Q.,4,Great value for money. Very happy with my purchase.
2024-01-07,Zebronics ZEB-Crystal Pro Webcam,Electronics,App Store,Geeta U.,4,Brilliant quality. Worth every rupee spent.
2024-01-08,AmazonBasics Adjustable Laptop Stand,Office & Computing,Google Play,Preeti C.,4,Outstanding product. Fast delivery and good packaging.
2024-01-08,JBL Flip 6 Bluetooth Speaker,Electronics,App Store,Deepa C.,3,Decent product. Does exactly what it says.
2024-01-08,Lakme Absolute Foundation,Beauty,Myntra,Suresh I.,3,Okay product. Nothing extraordinary.
2024-01-08,Levi's 511 Slim Fit Jeans,Fashion,Amazon,Aditya R.,3,Not bad. Could be better but serves the purpose.
2024-01-08,Minimalist 10% Niacinamide Serum,Beauty,Myntra,Nisha G.,5,Brilliant quality. Worth every rupee spent.
