date,product_name,category,quantity,unit_price,revenue
2026-06-12,Nike Running Shoes,Footwear,10,100,1000
2026-06-13,Nike Running Shoes,Footwear,10,100,1000
2026-06-14,Nike Running Shoes,Footwear,10,100,1000
2026-06-15,Nike Running Shoes,Footwear,10,100,1000
2026-06-16,Nike Running Shoes,Footwear,10,100,1000
2026-06-17,Nike Running Shoes,Footwear,10,100,1000
2026-06-18,Nike Running Shoes,Footwear,10,100,1000
2026-06-19,Nike Running Shoes,Footwear,10,100,1000
2026-06-20,Nike Running Shoes,Footwear,10,100,1000
2026-06-21,Nike Running Shoes,Footwear,10,100,1000
2026-06-22,Nike Running Shoes,Footwear,10,100,1000
2026-06-23,Nike Running Shoes,Footwear,10,100,1000
2026-06-24,Nike Running Shoes,Footwear,10,100,1000
2026-06-25,Nike Running Shoes,Footwear,10,100,1000
2026-06-26,Nike Running Shoes,Footwear,10,100,1000
2026-06-27,Nike Running Shoes,Footwear,10,100,1000
2026-06-28,Nike Running Shoes,Footwear,10,100,1000
2026-06-29,Nike Running Shoes,Footwear,10,100,1000
2026-06-30,Nike Running Shoes,Footwear,10,100,1000
2026-07-01,Nike Running Shoes,Footwear,10,100,1000
2026-07-02,Nike Running Shoes,Footwear,10,100,1000
2026-07-03,Nike Running Shoes,Footwear,10,100,1000
2026-07-04,Nike Running Shoes,Footwear,10,100,1000
2026-07-05,Nike Running Shoes,Footwear,10,100,1000
2026-07-06,Nike Running Shoes,Footwear,10,100,1000
2026-07-07,Nike Running Shoes,Footwear,10,100,1000
2026-07-08,Nike Running Shoes,Footwear,10,100,1000
2026-07-09,Nike Running Shoes,Footwear,10,100,1000
2026-07-10,Nike Running Shoes,Footwear,10,100,1000
2026-07-11,Nike Running Shoes,Footwear,10,100,1000
2026-07-12,Nike Running Shoes,Footwear,13,100,1300
2026-07-13,Nike Running Shoes,Footwear,13,100,1300
2026-07-14,Nike Running Shoes,Footwear,13,100,1300
2026-07-15,Nike Running Shoes,Footwear,13,100,1300
2026-07-16,Nike Running Shoes,Footwear,13,100,1300
2026-07-17,Nike Running Shoes,Footwear,13,100,1300
2026-07-18,Nike Running Shoes,Footwear,13,100,1300
2026-07-19,Nike Running Shoes,Footwear,13,100,1300
2026-07-20,Nike Running Shoes,Footwear,13,100,1300
2026-07-21,Nike Running Shoes,Footwear,13,100,1300
2026-07-22,Nike Running Shoes,Footwear,13,100,1300
2026-07-23,Nike Running Shoes,Footwear,13,100,1300
2026-07-24,Nike Running Shoes,Footwear,13,100,1300
2026-07-25,Nike Running Shoes,Footwear,13,100,1300
2026-07-26,Nike Running Shoes,Footwear,13,100,1300
2026-07-27,Nike Running Shoes,Footwear,13,100,1300
2026-07-28,Nike Running Shoes,Footwear,13,100,1300
2026-07-29,Nike Running Shoes,Footwear,13,100,1300
2026-07-30,Nike Running Shoes,Footwear,13,100,1300
2026-07-31,Nike Running Shoes,Footwear,13,100,1300
2026-08-01,Nike Running Shoes,Footwear,13,100,1300
2026-08-02,Nike Running Shoes,Footwear,13,100,1300
2026-08-03,Nike Running Shoes,Footwear,13,100,1300
2026-08-04,Nike Running Shoes,Footwear,13,100,1300
2026-08-05,Nike Running Shoes,Footwear,13,100,1300
2026-08-06,Nike Running Shoes,Footwear,13,100,1300
2026-08-07,Nike Running Shoes,Footwear,13,100,1300
2026-08-08,Nike Running Shoes,Footwear,13,100,1300
2026-08-09,Nike Running Shoes,Footwear,13,100,1300
2026-08-10,Nike Running Shoes,Footwear,13,100,1300
