review_date,product_name,category,source,author_name,rating,review_text
2023-01-01,Sunglasses UV400 Polarized,Fashion,App Store,Nisha L.,5,Works like a charm. Very pleased.
2023-01-01,Natural Aloe Vera Gel 200ml,Beauty,Amazon,Arjun M.,4,"Packaging was nice, product works well."
2023-01-02,USB-C Fast Charging Cable,Electronics,Website,Rohan D.,4,Good value for money. Happy with it.
2023-01-02,Sunglasses UV400 Polarized,Fashion,Google Reviews,Dhruv A.,5,Works like a charm. Very pleased.
2023-01-03,Sunglasses UV400 Polarized,Fashion,Amazon,Arjun M.,3,Expected a bit more for the price.
2023-01-03,Laptop Stand Adjustable,Electronics,Website,Meera J.,3,Average quality. Nothing special.
2023-01-03,USB-C Fast Charging Cable,Electronics,Website,Aditya R.,5,Sturdy build quality and works perfectly.
2023-01-03,Portable Phone Charger 20000mAh,Electronics,Website,Pooja S.,5,Excellent product. Will buy again.
2023-01-04,Sunglasses UV400 Polarized,Fashion,Amazon,Kavya N.,4,Sturdy build quality and works perfectly.
2023-01-05,Mechanical Keyboard RGB,Electronics,Website,Arjun M.,3,"Not bad, but not great either."
2023-01-05,Running Sports Shoes,Fashion,Website,Arjun M.,4,Sturdy build quality and works perfectly.
2023-01-05,Stainless Steel Water Bottle 1L,Home & Living,Google Reviews,Aditya R.,5,Great quality for the price. Highly recommend!
2023-01-05,Memory Foam Pillow,Home & Living,Flipkart,Pooja S.,2,Customer support was unhelpful.
2023-01-06,Casual Denim Jacket,Fashion,Flipkart,Suresh B.,5,Works like a charm. Very pleased.
2023-01-07,Memory Foam Pillow,Home & Living,Website,Priya S.,5,Works like a charm. Very pleased.
2023-01-07,Collagen Face Sheet Mask Pack,Beauty,Amazon,Sonal M.,1,Customer support was unhelpful.
2023-01-08,Noise Cancelling Headphones,Electronics,App Store,Karan V.,5,Highly recommend to everyone. Brilliant!
2023-01-08,Running Sports Shoes,Fashion,Google Reviews,Priya S.,3,Average quality. Nothing special.
2023-01-08,Running Sports Shoes,Fashion,App Store,Rohan D.,1,Poor quality. Not worth the price.
2023-01-09,Under Eye Cream Dark Circles,Beauty,Google Reviews,Ananya G.,5,Very satisfied with my purchase. Fast delivery too.
2023-01-09,USB-C Fast Charging Cable,Electronics,Flipkart,Suresh B.,3,Packaging was a bit damaged but product is fine.
2023-01-09,Stainless Steel Water Bottle 1L,Home & Living,Google Reviews,Pooja S.,1,Complete waste. Never buying again.
2023-01-09,Cotton Round Neck T-Shirt,Fashion,App Store,Ananya G.,5,Works like a charm. Very pleased.
2023-01-10,Memory Foam Pillow,Home & Living,Amazon,Priya S.,3,Okay for the price. Could be better.
2023-01-10,Wireless Bluetooth Earbuds,Electronics,Flipkart,Karan V.,5,Very satisfied with my purchase. Fast delivery too.
2023-01-10,Stainless Steel Water Bottle 1L,Home & Living,Google Reviews,Kartik P.,4,"Packaging was nice, product works well."
2023-01-10,Casual Denim Jacket,Fashion,Flipkart,Kavya N.,5,Outstanding quality. Zero complaints.
2023-01-10,Stainless Steel Water Bottle 1L,Home & Living,App Store,Priya S.,1,Customer support was unhelpful.
2023-01-11,Bamboo Cutting Board Set,Home & Living,Website,Nisha L.,2,Poor quality. Not worth the price.
2023-01-12,USB-C Fast Charging Cable,Electronics,Flipkart,Suresh B.,5,Perfect for my needs. Great quality.
2023-01-12,Bamboo Cutting Board Set,Home & Living,Google Reviews,Priya S.,4,Sturdy build quality and works perfectly.
2023-01-13,Leather Wallet Slim,Fashion,Amazon,Karan V.,5,Highly recommend to everyone. Brilliant!
