date,product_name,category,quantity_on_hand,reorder_point
2024-01-31,Allen Solly Polo T-Shirt,Fashion,8,40
2024-01-31,AmazonBasics Adjustable Laptop Stand,Office & Computing,5,20
2024-01-31,Anker 65W GaN Fast Charger,Electronics,25,40
2024-01-31,Biotique Bio Morning Nector SPF,Beauty,82,80
2024-01-31,FabIndia Cotton Kurta,Fashion,24,25
2024-01-31,H&M Relaxed Fit Shirt,Fashion,5,50
2024-01-31,HP 65W Laptop Power Adapter,Office & Computing,6,15
2024-01-31,JBL Flip 6 Bluetooth Speaker,Electronics,5,18
2024-01-31,Kuber Industries Storage Box,Home & Living,25,45
2024-01-31,Lakme Absolute Foundation,Beauty,59,45
2024-01-31,Levi's 511 Slim Fit Jeans,Fashion,18,25
2024-01-31,Logitech MX Keys Keyboard,Electronics,5,15
2024-01-31,Mamaearth Vitamin C Face Wash,Beauty,11,70
2024-01-31,Mi 10000mAh Power Bank,Electronics,5,35
2024-01-31,Milton Thermosteel Flask 1L,Home & Living,29,35
2024-01-31,Minimalist 10% Niacinamide Serum,Beauty,65,60
2024-01-31,Pigeon Aluminium Non-Stick Pan,Home & Living,24,25
2024-01-31,Plum Green Tea Toner 200ml,Beauty,67,60
2024-01-31,Portronics Table Lamp LED,Office & Computing,5,20
2024-01-31,Prestige Induction Cooktop 1200W,Home & Living,5,15
2024-01-31,Puma Classic Track Pants,Fashion,5,30
2024-01-31,Royalford Bamboo Chopping Board,Home & Living,5,30
2024-01-31,Samsung Galaxy Buds3 Pro,Electronics,14,20
2024-01-31,Sony WH-1000XM5 Headphones,Electronics,5,10
2024-01-31,Story@Home Blackout Curtains,Home & Living,14,20
2024-01-31,Syska USB Hub 4-Port,Office & Computing,21,40
2024-01-31,Woodland Casual Sneakers,Fashion,5,20
2024-01-31,Wow Skin Science Hair Oil,Beauty,43,55
2024-01-31,Zebronics ZEB-Crystal Pro Webcam,Electronics,5,25
2024-01-31,boAt Airdopes 141 TWS Earbuds,Electronics,5,30
2024-02-29,Allen Solly Polo T-Shirt,Fashion,5,40
2024-02-29,AmazonBasics Adjustable Laptop Stand,Office & Computing,5,20
2024-02-29,Anker 65W GaN Fast Charger,Electronics,40,40
2024-02-29,Biotique Bio Morning Nector SPF,Beauty,75,80
2024-02-29,FabIndia Cotton Kurta,Fashion,5,25
2024-02-29,H&M Relaxed Fit Shirt,Fashion,31,50
2024-02-29,HP 65W Laptop Power Adapter,Office & Computing,5,15
2024-02-29,JBL Flip 6 Bluetooth Speaker,Electronics,5,18
2024-02-29,Kuber Industries Storage Box,Home & Living,25,45
2024-02-29,Lakme Absolute Foundation,Beauty,39,45
2024-02-29,Levi's 511 Slim Fit Jeans,Fashion,5,25
2024-02-29,Logitech MX Keys Keyboard,Electronics,7,15
2024-02-29,Mamaearth Vitamin C Face Wash,Beauty,44,70
2024-02-29,Mi 10000mAh Power Bank,Electronics,37,35
2024-02-29,Milton Thermosteel Flask 1L,Home & Living,38,35
2024-02-29,Minimalist 10% Niacinamide Serum,Beauty,63,60
2024-02-29,Pigeon Aluminium Non-Stick Pan,Home & Living,23,25
2024-02-29,Plum Green Tea Toner 200ml,Beauty,34,60
2024-02-29,Portronics Table Lamp LED,Office & Computing,5,20
2024-02-29,Prestige Induction Cooktop 1200W,Home & Living,5,15
2024-02-29,Puma Classic Track Pants,Fashion,5,30
2024-02-29,Royalford Bamboo Chopping Board,Home & Living,42,30
2024-02-29,Samsung Galaxy Buds3 Pro,Electronics,17,20
2024-02-29,Sony WH-1000XM5 Headphones,Electronics,14,10
2024-02-29,Story@Home Blackout Curtains,Home & Living,6,20
2024-02-29,Syska USB Hub 4-Port,Office & Computing,33,40
2024-02-29,Woodland Casual Sneakers,Fashion,12,20
2024-02-29,Wow Skin Science Hair Oil,Beauty,33,55
2024-02-29,Zebronics ZEB-Crystal Pro Webcam,Electronics,11,25
2024-02-29,boAt Airdopes 141 TWS Earbuds,Electronics,28,30
2024-03-31,Allen Solly Polo T-Shirt,Fashion,23,40
2024-03-31,AmazonBasics Adjustable Laptop Stand,Office & Computing,37,20
2024-03-31,Anker 65W GaN Fast Charger,Electronics,18,40
2024-03-31,Biotique Bio Morning Nector SPF,Beauty,35,80
2024-03-31,FabIndia Cotton Kurta,Fashion,5,25
2024-03-31,H&M Relaxed Fit Shirt,Fashion,13,50
2024-03-31,HP 65W Laptop Power Adapter,Office & Computing,5,15
2024-03-31,JBL Flip 6 Bluetooth Speaker,Electronics,5,18
2024-03-31,Kuber Industries Storage Box,Home & Living,32,45
2024-03-31,Lakme Absolute Foundation,Beauty,36,45
2024-03-31,Levi's 511 Slim Fit Jeans,Fashion,5,25
2024-03-31,Logitech MX Keys Keyboard,Electronics,5,15
2024-03-31,Mamaearth Vitamin C Face Wash,Beauty,39,70
2024-03-31,Mi 10000mAh Power Bank,Electronics,5,35
2024-03-31,Milton Thermosteel Flask 1L,Home & Living,27,35
2024-03-31,Minimalist 10% Niacinamide Serum,Beauty,15,60
2024-03-31,Pigeon Aluminium Non-Stick Pan,Home & Living,5,25
2024-03-31,Plum Green Tea Toner 200ml,Beauty,64,60
2024-03-31,Portronics Table Lamp LED,Office & Computing,5,20
2024-03-31,Prestige Induction Cooktop 1200W,Home & Living,5,15
2024-03-31,Puma Classic Track Pants,Fashion,7,30
2024-03-31,Royalford Bamboo Chopping Board,Home & Living,10,30
2024-03-31,Samsung Galaxy Buds3 Pro,Electronics,5,20
2024-03-31,Sony WH-1000XM5 Headphones,Electronics,5,10
2024-03-31,Story@Home Blackout Curtains,Home & Living,5,20
2024-03-31,Syska USB Hub 4-Port,Office & Computing,36,40
2024-03-31,Woodland Casual Sneakers,Fashion,5,20
2024-03-31,Wow Skin Science Hair Oil,Beauty,14,55
2024-03-31,Zebronics ZEB-Crystal Pro Webcam,Electronics,17,25
2024-03-31,boAt Airdopes 141 TWS Earbuds,Electronics,24,30
2024-04-30,Allen Solly Polo T-Shirt,Fashion,5,40
2024-04-30,AmazonBasics Adjustable Laptop Stand,Office & Computing,5,20
2024-04-30,Anker 65W GaN Fast Charger,Electronics,30,40
2024-04-30,Biotique Bio Morning Nector SPF,Beauty,64,80
2024-04-30,FabIndia Cotton Kurta,Fashion,20,25
2024-04-30,H&M Relaxed Fit Shirt,Fashion,32,50
2024-04-30,HP 65W Laptop Power Adapter,Office & Computing,5,15
2024-04-30,JBL Flip 6 Bluetooth Speaker,Electronics,5,18
2024-04-30,Kuber Industries Storage Box,Home & Living,13,45
