date,product_name,category,quantity_on_hand,reorder_point
2024-01-01,Bamboo Cutting Board Set,Home & Living,202,30
2024-01-01,Casual Denim Jacket,Fashion,211,19
2024-01-01,Collagen Face Sheet Mask Pack,Beauty,77,16
2024-01-01,Cotton Round Neck T-Shirt,Fashion,73,34
2024-01-01,Laptop Stand Adjustable,Electronics,167,33
2024-01-01,Leather Wallet Slim,Fashion,233,33
2024-01-01,Mechanical Keyboard RGB,Electronics,166,40
2024-01-01,Memory Foam Pillow,Home & Living,111,30
2024-01-01,Moisturising Sunscreen SPF50,Beauty,157,32
2024-01-01,Natural Aloe Vera Gel 200ml,Beauty,234,41
2024-01-01,Noise Cancelling Headphones,Electronics,99,33
2024-01-01,Non-Stick Frying Pan 26cm,Home & Living,166,22
2024-01-01,Portable Phone Charger 20000mAh,Electronics,168,50
2024-01-01,Running Sports Shoes,Fashion,200,29
2024-01-01,Scented Soy Wax Candle,Home & Living,223,31
2024-01-01,Slim Fit Chino Pants,Fashion,94,31
2024-01-01,Smart LED Desk Lamp,Electronics,225,36
2024-01-01,Stainless Steel Water Bottle 1L,Home & Living,212,34
2024-01-01,Sunglasses UV400 Polarized,Fashion,88,31
2024-01-01,USB-C Fast Charging Cable,Electronics,244,48
2024-01-01,Under Eye Cream Dark Circles,Beauty,80,43
2024-01-01,Vitamin C Face Serum 30ml,Beauty,82,29
2024-01-01,Webcam HD 1080p,Electronics,115,42
2024-01-01,Wireless Bluetooth Earbuds,Electronics,30,35
2024-02-01,Bamboo Cutting Board Set,Home & Living,132,35
2024-02-01,Casual Denim Jacket,Fashion,43,18
2024-02-01,Collagen Face Sheet Mask Pack,Beauty,229,23
2024-02-01,Cotton Round Neck T-Shirt,Fashion,174,48
2024-02-01,Laptop Stand Adjustable,Electronics,53,24
2024-02-01,Leather Wallet Slim,Fashion,35,30
2024-02-01,Mechanical Keyboard RGB,Electronics,42,45
2024-02-01,Memory Foam Pillow,Home & Living,204,17
2024-02-01,Moisturising Sunscreen SPF50,Beauty,104,36
2024-02-01,Natural Aloe Vera Gel 200ml,Beauty,130,23
2024-02-01,Noise Cancelling Headphones,Electronics,195,28
2024-02-01,Non-Stick Frying Pan 26cm,Home & Living,39,45
2024-02-01,Portable Phone Charger 20000mAh,Electronics,161,36
2024-02-01,Running Sports Shoes,Fashion,50,21
2024-02-01,Scented Soy Wax Candle,Home & Living,87,48
2024-02-01,Slim Fit Chino Pants,Fashion,159,32
2024-02-01,Smart LED Desk Lamp,Electronics,138,41
2024-02-01,Stainless Steel Water Bottle 1L,Home & Living,186,26
2024-02-01,Sunglasses UV400 Polarized,Fashion,12,43
2024-02-01,USB-C Fast Charging Cable,Electronics,67,18
2024-02-01,Under Eye Cream Dark Circles,Beauty,99,27
2024-02-01,Vitamin C Face Serum 30ml,Beauty,83,41
2024-02-01,Webcam HD 1080p,Electronics,157,49
2024-02-01,Wireless Bluetooth Earbuds,Electronics,144,50
2024-03-01,Bamboo Cutting Board Set,Home & Living,159,36
2024-03-01,Casual Denim Jacket,Fashion,95,40
2024-03-01,Collagen Face Sheet Mask Pack,Beauty,27,31
2024-03-01,Cotton Round Neck T-Shirt,Fashion,220,16
2024-03-01,Laptop Stand Adjustable,Electronics,12,17
2024-03-01,Leather Wallet Slim,Fashion,37,23
2024-03-01,Mechanical Keyboard RGB,Electronics,107,19
2024-03-01,Memory Foam Pillow,Home & Living,58,36
2024-03-01,Moisturising Sunscreen SPF50,Beauty,216,20
2024-03-01,Natural Aloe Vera Gel 200ml,Beauty,246,28
2024-03-01,Noise Cancelling Headphones,Electronics,47,29
2024-03-01,Non-Stick Frying Pan 26cm,Home & Living,145,40
2024-03-01,Portable Phone Charger 20000mAh,Electronics,155,42
2024-03-01,Running Sports Shoes,Fashion,209,22
2024-03-01,Scented Soy Wax Candle,Home & Living,170,45
2024-03-01,Slim Fit Chino Pants,Fashion,46,37
2024-03-01,Smart LED Desk Lamp,Electronics,227,34
2024-03-01,Stainless Steel Water Bottle 1L,Home & Living,231,37
2024-03-01,Sunglasses UV400 Polarized,Fashion,62,44
2024-03-01,USB-C Fast Charging Cable,Electronics,87,32
2024-03-01,Under Eye Cream Dark Circles,Beauty,10,50
2024-03-01,Vitamin C Face Serum 30ml,Beauty,250,42
2024-03-01,Webcam HD 1080p,Electronics,155,18
2024-03-01,Wireless Bluetooth Earbuds,Electronics,19,30
2024-04-01,Bamboo Cutting Board Set,Home & Living,114,28
2024-04-01,Casual Denim Jacket,Fashion,18,30
2024-04-01,Collagen Face Sheet Mask Pack,Beauty,210,49
2024-04-01,Cotton Round Neck T-Shirt,Fashion,150,38
2024-04-01,Laptop Stand Adjustable,Electronics,151,34
2024-04-01,Leather Wallet Slim,Fashion,85,26
2024-04-01,Mechanical Keyboard RGB,Electronics,66,20
2024-04-01,Memory Foam Pillow,Home & Living,56,31
2024-04-01,Moisturising Sunscreen SPF50,Beauty,192,41
2024-04-01,Natural Aloe Vera Gel 200ml,Beauty,139,40
2024-04-01,Noise Cancelling Headphones,Electronics,28,29
2024-04-01,Non-Stick Frying Pan 26cm,Home & Living,127,33
2024-04-01,Portable Phone Charger 20000mAh,Electronics,188,35
2024-04-01,Running Sports Shoes,Fashion,58,41
2024-04-01,Scented Soy Wax Candle,Home & Living,177,21
2024-04-01,Slim Fit Chino Pants,Fashion,22,28
2024-04-01,Smart LED Desk Lamp,Electronics,111,39
2024-04-01,Stainless Steel Water Bottle 1L,Home & Living,59,34
2024-04-01,Sunglasses UV400 Polarized,Fashion,50,23
2024-04-01,USB-C Fast Charging Cable,Electronics,58,31
2024-04-01,Under Eye Cream Dark Circles,Beauty,14,34
2024-04-01,Vitamin C Face Serum 30ml,Beauty,69,43
2024-04-01,Webcam HD 1080p,Electronics,249,49
2024-04-01,Wireless Bluetooth Earbuds,Electronics,190,38
2024-05-01,Bamboo Cutting Board Set,Home & Living,51,50
2024-05-01,Casual Denim Jacket,Fashion,24,24
2024-05-01,Collagen Face Sheet Mask Pack,Beauty,60,27
2024-05-01,Cotton Round Neck T-Shirt,Fashion,122,33
2024-05-01,Laptop Stand Adjustable,Electronics,18,50
2024-05-01,Leather Wallet Slim,Fashion,77,27
2024-05-01,Mechanical Keyboard RGB,Electronics,107,18
2024-05-01,Memory Foam Pillow,Home & Living,22,25
2024-05-01,Moisturising Sunscreen SPF50,Beauty,124,36
2024-05-01,Natural Aloe Vera Gel 200ml,Beauty,196,25
2024-05-01,Noise Cancelling Headphones,Electronics,49,20
2024-05-01,Non-Stick Frying Pan 26cm,Home & Living,213,38
2024-05-01,Portable Phone Charger 20000mAh,Electronics,191,24
2024-05-01,Running Sports Shoes,Fashion,19,34
2024-05-01,Scented Soy Wax Candle,Home & Living,166,32
2024-05-01,Slim Fit Chino Pants,Fashion,26,44
2024-05-01,Smart LED Desk Lamp,Electronics,155,32
2024-05-01,Stainless Steel Water Bottle 1L,Home & Living,68,49
2024-05-01,Sunglasses UV400 Polarized,Fashion,63,35
2024-05-01,USB-C Fast Charging Cable,Electronics,212,35
2024-05-01,Under Eye Cream Dark Circles,Beauty,118,40
2024-05-01,Vitamin C Face Serum 30ml,Beauty,96,26
2024-05-01,Webcam HD 1080p,Electronics,175,46
2024-05-01,Wireless Bluetooth Earbuds,Electronics,222,16
2024-06-01,Bamboo Cutting Board Set,Home & Living,46,45
2024-06-01,Casual Denim Jacket,Fashion,181,42
2024-06-01,Collagen Face Sheet Mask Pack,Beauty,63,18
2024-06-01,Cotton Round Neck T-Shirt,Fashion,68,16
2024-06-01,Laptop Stand Adjustable,Electronics,49,29
2024-06-01,Leather Wallet Slim,Fashion,74,41
2024-06-01,Mechanical Keyboard RGB,Electronics,156,21
2024-06-01,Memory Foam Pillow,Home & Living,122,42
2024-06-01,Moisturising Sunscreen SPF50,Beauty,54,32
2024-06-01,Natural Aloe Vera Gel 200ml,Beauty,174,38
2024-06-01,Noise Cancelling Headphones,Electronics,65,28
2024-06-01,Non-Stick Frying Pan 26cm,Home & Living,103,15
