date,product_name,category,quantity,unit_price,revenue
2024-01-01,Allen Solly Polo T-Shirt,Fashion,29,972.23,28194.67
2024-01-01,AmazonBasics Adjustable Laptop Stand,Office & Computing,24,1764.28,42342.72
2024-01-01,Anker 65W GaN Fast Charger,Electronics,23,2497.25,57436.75
2024-01-01,Biotique Bio Morning Nector SPF,Beauty,3,244.99,734.97
2024-01-01,FabIndia Cotton Kurta,Fashion,17,1480.41,25166.97
2024-01-01,H&M Relaxed Fit Shirt,Fashion,12,828.0,9936.0
2024-01-01,HP 65W Laptop Power Adapter,Office & Computing,4,2044.58,8178.32
2024-01-01,JBL Flip 6 Bluetooth Speaker,Electronics,13,10361.96,134705.48
2024-01-01,Kuber Industries Storage Box,Home & Living,10,343.35,3433.5
2024-01-01,Lakme Absolute Foundation,Beauty,16,765.19,12243.04
2024-01-01,Levi's 511 Slim Fit Jeans,Fashion,18,2957.61,53236.98
2024-01-01,Logitech MX Keys Keyboard,Electronics,22,8551.92,188142.24
2024-01-01,Mamaearth Vitamin C Face Wash,Beauty,25,289.19,7229.75
2024-01-01,Mi 10000mAh Power Bank,Electronics,22,1024.67,22542.74
2024-01-01,Milton Thermosteel Flask 1L,Home & Living,24,724.37,17384.88
2024-01-01,Minimalist 10% Niacinamide Serum,Beauty,2,387.43,774.86
2024-01-01,Pigeon Aluminium Non-Stick Pan,Home & Living,1,934.33,934.33
2024-01-01,Plum Green Tea Toner 200ml,Beauty,5,381.45,1907.25
2024-01-01,Portronics Table Lamp LED,Office & Computing,27,1280.42,34571.34
2024-01-01,Prestige Induction Cooktop 1200W,Home & Living,20,2888.08,57761.6
2024-01-01,Puma Classic Track Pants,Fashion,11,2068.37,22752.07
2024-01-01,Royalford Bamboo Chopping Board,Home & Living,12,515.52,6186.24
2024-01-01,Samsung Galaxy Buds3 Pro,Electronics,21,12594.73,264489.33
2024-01-01,Sony WH-1000XM5 Headphones,Electronics,17,26161.41,444743.97
2024-01-01,Story@Home Blackout Curtains,Home & Living,23,1333.55,30671.65
2024-01-01,Syska USB Hub 4-Port,Office & Computing,14,576.78,8074.92
2024-01-01,Woodland Casual Sneakers,Fashion,21,2417.9,50775.9
2024-01-01,Wow Skin Science Hair Oil,Beauty,30,586.48,17594.4
2024-01-01,Zebronics ZEB-Crystal Pro Webcam,Electronics,13,1541.42,20038.46
2024-01-01,boAt Airdopes 141 TWS Earbuds,Electronics,25,1263.8,31595.0
2024-01-02,Allen Solly Polo T-Shirt,Fashion,23,1004.39,23100.97
2024-01-02,AmazonBasics Adjustable Laptop Stand,Office & Computing,41,1706.35,69960.35
2024-01-02,HP 65W Laptop Power Adapter,Office & Computing,50,2041.78,102089.0
2024-01-02,Kuber Industries Storage Box,Home & Living,14,358.04,5012.56
2024-01-02,Levi's 511 Slim Fit Jeans,Fashion,24,2919.23,70061.52
2024-01-02,Mamaearth Vitamin C Face Wash,Beauty,16,298.01,4768.16
2024-01-02,Milton Thermosteel Flask 1L,Home & Living,35,725.56,25394.6
2024-01-02,Minimalist 10% Niacinamide Serum,Beauty,42,389.02,16338.84
2024-01-02,Plum Green Tea Toner 200ml,Beauty,12,390.49,4685.88
2024-01-02,Portronics Table Lamp LED,Office & Computing,30,1370.83,41124.9
2024-01-02,Prestige Induction Cooktop 1200W,Home & Living,23,3042.62,69980.26
2024-01-02,Royalford Bamboo Chopping Board,Home & Living,19,507.53,9643.07
2024-01-02,Story@Home Blackout Curtains,Home & Living,41,1374.34,56347.94
2024-01-02,Syska USB Hub 4-Port,Office & Computing,23,602.83,13865.09
2024-01-02,Woodland Casual Sneakers,Fashion,13,2604.53,33858.89
2024-01-02,Zebronics ZEB-Crystal Pro Webcam,Electronics,32,1585.34,50730.88
2024-01-02,boAt Airdopes 141 TWS Earbuds,Electronics,12,1306.92,15683.04
2024-01-03,AmazonBasics Adjustable Laptop Stand,Office & Computing,26,1790.72,46558.72
2024-01-03,FabIndia Cotton Kurta,Fashion,42,1530.18,64267.56
2024-01-03,H&M Relaxed Fit Shirt,Fashion,20,794.29,15885.8
2024-01-03,Mamaearth Vitamin C Face Wash,Beauty,33,300.26,9908.58
